miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-let-7f-1	4905	pancreatic cancer	up-regulated	"Northern blot, qRT-PCR etc"	Aberrantly expressed miRNA precursors in pancreatic adenocarcinoma.PAM testing was conducted on 10 tumor samples and 15 adjacent benign samples. PAM has correctly classified 100% of the tested tumor samples and 11 of 15 of the tested benign samples. The 20 top ranked differentially expressed miRNAs in pancreatic adenocarcinoma as selected by PAM.	unknown	unknown	2006	17149698	Unspecified
hsa-let-7f-1	3829	pituitary adenoma	down-regulated	microarray	Differentially expressed between normal pituitary and pituitary adenomas.One of the 24 miRNAs able to correctly predict the nature of each sample (adenoma or normal pituitary).	unknown	unknown	2007	17111382	Unspecified
hsa-let-7f-2	3459	breast cancer	down-regulated	microarray	Differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-let-7f-2	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-let-7f-2	4451	kidney cancer	up-regulated	microarray	"A set of 4 human micro-RNAs (miR-28, miR-185, miR-27, and let-7f-2) were found significantly up-regulated in renal cell carcinoma (P<0.05) compared to normal kidney."	unknown	unknown	2007	17826655	Unspecified
hsa-let-7g	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	metastasis-related miRNA	unknown	unknown	2008	18176954	Unspecified
hsa-let-7g	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	Overexpression of let-7 in lung cancer cell lines alters cell cycle progression and reduces cell division.multiple genes involved in cell cycle and cell division functions are also directly or indirectly repressed by let-7.	"CDK6, CDC25A"	unknown	2007	17699775	Causal
hsa-let-7g	3908	non-small cell lung cancer (NSCLC)	down-regulated	"Northern blot, qRT-PCR etc"	"Ectopic expression of let-7g in K-Ras(G12D)-expressing murine lung cancer cells induced both cell cycle arrest and cell death. In tumor xenografts, the authors observed significant growth reduction of both murine and human non-small cell lung tumors when overexpression of let-7g was induced from lentiviral vectors. In let-7g expressing tumors, reductions in Ras family and HMGA2 protein levels were detected."	"Ras,HMGA2"	unknown	2008	18308936	Causal
hsa-let-7g	2144	ovarian cancer (OC)	down-regulated	"Northern blot, qRT-PCR etc"	let-7 Regulates HMGA2 Expression in ovarian cancer (OC) and Predicts Disease Progression.	HMGA2	unknown	2007	17600087	Causal
hsa-let-7g	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	The expression levels of miRNA is affected by wtp53. Down-regulation of wt-p53 via siRNA abolishes the effect of wt-p53 in regulating miRNAs in HCT-116 (wt-p53) cells.	unknown	unknown	2006	16609010	Unspecified
hsa-let-7g	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	Differentially expressed following hypoxia in SCC cells.	unknown	unknown	2007	17222355	Unspecified
hsa-let-7g	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-let-7g	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-let-7g	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-let-7g	10286	prostate cancer	down-regulated	microarray	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	unknown	2007	17616669	Unspecified	0	36			
hsa-let-7g	10286	prostate cancer	up-regulated	microarray	One of the upregulated microRNAs in tumors with perineural invasion (FDR 10%).	unknown	unknown	2008	18459106	Unspecified
hsa-let-7i	10652	Alzheimer's disease	down-regulated	microarray	Significantly changed miRNAs in cortex of sporadic AD cases.	unknown	unknown	2008	18434550	Unspecified
hsa-let-7i	3459	breast cancer	up-regulated	microarray	Differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-let-7i	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	Differentially expressed following hypoxia in SCC cells.	unknown	unknown	2007	17222355	Unspecified
hsa-miR-1	11984	cardiac hypertrophy	down-regulated	"Northern blot, qRT-PCR etc"	"The muscle-specific miR-1 was singularly downregulated as early as day 1, persisting through day 7, after aortic constriction每induced hypertrophy in a mouse model. Overexpression experiments showed that miR-1 inhibited its in silico每predicted, growth-related targets, including Ras GTPase每activating protein (RasGAP), cyclin-dependent kinase 9 (Cdk9), fibronectin, and Ras homolog enriched in brain (Rheb), in addition to protein synthesis and cell size."	"RasGAP,Cdk9, fibronectin,Rheb"	"GJA1,Hand2,HDAC4,TMSB4X"	2008	17234972	Causal
hsa-miR-1	11984	cardiac hypertrophy	down-regulated	"Northern blot, qRT-PCR etc"	Down-regulation of miR-1 and miR-133 expression contributes to re-expression of HCN2/HCN4 thereby the electrical remodeling process in hypertrophic hearts.	HCN4	"GJA1,Hand2,HDAC4,TMSB4X"	2008	18458081	Causal
hsa-miR-203	3498	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	differentially expressed between normal and PDAC or cell line samples.	unknown	unknown	2007	17237814	Unspecified
hsa-miR-203	13223	uterine leiomyoma (ULM)	down-regulated	microarray	Twenty most differentially expressed microRNA species in leiomyoma versus myometrium microarray.	unknown	unknown	2008	17765232	Unspecified
hsa-miR-204	9119	acute myeloid leukemia (AML)	down-regulated	"Northern blot, qRT-PCR etc"	"The authors confirmed that miR-204 targets HOXA10 and MEIS1, suggesting that the HOX upregulation observed inNPMc AMLmaybe due in part by loss ofHOX regulators-miRNAs."	"HOXA10, MEIS1"	unknown	2008	18308931	Causal
hsa-miR-204	3459	breast cancer	down-regulated	microarray	Differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-miR-204	3903	Insulinoma	up-regulated	"Northern blot, qRT-PCR etc"	Overexpression of miR-204 is Specific to Insulinomas and Correlates With Immunohistochemical Expression of Insulin.	unknown	unknown	2006	16966691	Unspecified
hsa-miR-204	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-204	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-miR-205	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	"All five members of the microRNA-200 family (miR-200a, miR-200b, miR-200c, miR-141 and miR-429) and miR-205 were markedly downregulated in cells that had undergone EMT in response to transforming growth factor (TGF)-beta or to ectopic expression of the protein tyrosine phosphatase Pez. Enforced expression of the miR-200 family alone was sufficient to prevent TGF-beta-induced EMT. Together, these microRNAs cooperatively regulate expression of the E-cadherin transcriptional repressors ZEB1 (also known as deltaEF1) and SIP1 (also known as ZEB2), factors previously implicated in EMT and tumour metastasis. Inhibition of the microRNAs was sufficient to induce EMT in a process requiring upregulation of ZEB1 and/or SIP1. Conversely, ectopic expression of these microRNAs in mesenchymal cells initiated mesenchymal to epithelial transition (MET). Consistent with their role in regulating EMT, expression of these microRNAs was found to be lost in invasive breast cancer cell lines with mesenchymal phenotype. Expression of the miR-200 family was also lost in regions of metaplastic breast cancer specimens lacking E-cadherin. These data suggest that downregulation of the microRNAs may be an important step in tumour progression."					
	"ZEB1(deltaEF1), SIP1(ZEB2)"	unknown	2008	18376396	Causal	1	50			
hsa-miR-205	4007	bladder cancer	up-regulated	microarray	"Human micro-RNAs miR-223, miR-26b, miR-221, miR-103-1, miR-185, miR-23b,miR-203, miR-17-5p, miR-23a, and miR-205 were significantly up-regulated in bladder cancers (P<0.05) compared to normal bladder"					
mucosa.	unknown	unknown	2007	17826655	Unspecified	0	51			
hsa-miR-205	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	"miR-205 expression change is statistically significant at the CIS(n = 31,P<0.001, Wilcoxon signed-ranks test) and ICa stages (n =51,P<0.001, Wilcoxon signed-ranks test) compared with normal."	unknown	unknown	2007	18089790	Unspecified
hsa-miR-205	1107	esophageal cancer	down-regulated	microarray	Both hsa-miR-203 and hsa-miR-205 were expressed 2- to 10-fold lower in squamous cell carcinoma and adenocarcinomas than in normal epithelium. The hsa-miR-21 expression was 3- to 5-fold higher in both tumors than in normal epithelium.	unknown	unknown	2008	18242245	Unspecified
hsa-miR-205	11934	Head and neck cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
hsa-miR-205	3905	lung cancer	up-regulated	"Northern blot, qRT-PCR etc"	One of the forty-three miRNAs differentially expressed in lung cancer tissues versus noncancerous lung tissues.	unknown	unknown	2006	16530703	Unspecified
hsa-miR-205	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-205	3498	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	differentially expressed between normal and PDAC or cell line samples.	unknown	unknown	2007	17237814	Unspecified
hsa-miR-205	10286	prostate cancer	down-regulated	"Northern blot, qRT-PCR etc"	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	unknown	2007	17616669	Unspecified	0	58			
hsa-miR-206	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Transfection of MCF-7 cells with pre-miR-206 or 2'-O-methyl antagomiR-206 specifically decreased or increased, respectively, ER汐  mRNA levels.MiR-206 expression was strongly inhibited by ER汐 agonists, but not by an ER汐 agonist or progesterone, indicating a mutually inhibitory feedback loop."	ER-alpha	"Fstl1,GJA1,Utrn"	2007	17312270	Causal
hsa-miR-155	10222	polymyositis (PM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	AGTR1	2007	17942673	Unspecified
hsa-miR-15a	1040	chronic lymphocytic leukemia (CLL)	up-regulated	"Northern blot, qRT-PCR etc"	MicroRNA Signature Associated with Prognostic Factors (ZAP-70 Expression and IgVH Mutations) and Disease Progression in Patients with CLL.	unknown	unknown	2005	16251535	Unspecified
hsa-miR-15a	684	hepatocellular carcinoma (HCC)	down-regulated	"Northern blot, qRT-PCR etc"	survival-related and metastasis-related miRNA.	unknown	unknown	2008	18176954	Unspecified
hsa-miR-15a	9119	acute promyelocytic leukemia (APL)	up-regulated	"Northern blot, qRT-PCR etc"	There is a negative correlation between miR-15a and miR-16-1 expression and BCL2 during ATRA-induced granulocytic differentiation of NB4 cells.	"BCL2, RAS"	unknown	2007	17260024	Causal
hsa-miR-15a	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	"Both miR-15a and miR-16-1 recognize target sites on the 3'UTR of BCL2, an anti-apoptotic"					
oncogene. These miRNAs control the level of BCL2 in normal cells but the expression of the										
oncogene is increased when the miRNAs are deleted leading to CLL.	BCL2	unknown	2005	16166262	Causal	1	64			
hsa-miR-15a	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	"miR-15a and miR-16-1, both microRNAs negatively regulate BCL2 at a post-transcriptional level and BCL2 repression induces apoptosis in MEG-01 chronic leukemia cell line and reduced in-vivo tumorigenicity."	BCL2	unknown	2007	17707831	Causal
hsa-miR-15a	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	"Among the components of the miR-15a/16-1 signature,The authors observed a statistically significant enrichment in AU-rich elements (AREs). By examining the Gene Ontology (GO) database, a significant enrichment in cancer genes (such as MCL1, BCL2, ETS1, or JUN) that directly or indirectly affect apoptosis and cell cycle was found."					
	unknown	unknown	2008	18362358	Causal	1	66			
hsa-miR-15a	3829	pituitary adenoma	down-regulated	"Northern blot, qRT-PCR etc"	"miR-15a and miR-16-1 are expressed at lower levels in pituitary adenomas as compared to normal pituitary tissue. Moreover, their expression inversely correlates with tumor diameter and with RARS expression (P<0.05), but directly correlates with p43 secretion (P<0.02)."	RAS	unknown	2005	15648093	Causal
hsa-miR-15a	10652	Alzheimer's disease	down-regulated	microarray	Significantly changed miRNAs in cortex of sporadic AD cases.	unknown	unknown	2008	18434550	Unspecified
hsa-miR-15a	1208	autism spectrum disorder (ASD)	up-regulated	microarray	one of wenty-eight miRNAs was expressed at significantly different levels compared to the non-autism control set in at least one of the autism samples.	unknown	unknown	2008	18563458	Unspecified
hsa-miR-15a	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	Differentially expressed following hypoxia in SCC cells.	unknown	unknown	2007	17222355	Unspecified
hsa-miR-15a	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-15a-2	10286	prostate cancer	up-regulated	microarray	One of the upregulated microRNAs in tumors with perineural invasion (FDR 10%).	unknown	unknown	2008	18459106	Unspecified
hsa-miR-15b	5517	gastric cancer (stomach cancer)	down-regulated	"Northern blot, qRT-PCR etc"	"In vitro drug sensitivity assay demonstrated that overexpression of miR-15b or miR-16 sensitized SGC7901/VCR cells to anticancer drugs whereas inhibition of them using antisense oligonucleotides conferred SGC7901 cells MDR. The downregulation of miR-15b and miR-16 in SGC7901/VCR cells was concurrent with the upregulation of Bcl-2 protein. Enforced mir-15b or miR-16 expression reduced Bcl-2 protein level and the luciferase activity of a BCL2 3' untranslated region-based reporter construct in SGC7901/VCR cells, suggesting that BCL2 is a direct target of miR-15b and miR-16. Moreover, overexpression of miR-15b or miR-16 could sensitize SGC7901/VCR cells to VCR-induced apoptosis."	BCL2	unknown	2008	18449891	Causal
hsa-miR-15b	9119	acute myeloid leukemia (AML)	down-regulated	microarray	One of the 33 miRNAs showing different expression levels between leukaemia samples and normal bone marrow.	unknown	unknown	2008	18478077	Unspecified
hsa-miR-15b	9119	acute promyelocytic leukemia (APL)	up-regulated	microarray	"Upregulation of miR-15a,miR-15b, miR-16-1, let-7a-3, let-7c, let-7d, miR-223,miR-342 and miR-107, whereas miR-181b was downregulated in in acute promyelocytic leukemia patients and cell lines during all-trans-retinoic acid (ATRA) treatment."	unknown	unknown	2007	17260024	Unspecified
hsa-miR-15b	1208	autism spectrum disorder (ASD)	up-regulated	microarray	one of wenty-eight miRNAs was expressed at significantly different levels compared to the non-autism control set in at least one of the autism samples.	unknown	unknown	2008	18563458	Unspecified
hsa-miR-15b	1040	B-cell chronic lymphocytic leukemia	up-regulated	microarray	Differentially expressed in CLL cells versus CD15 cells.	unknown	unknown	2004	15284443	Unspecified
hsa-miR-15b	11984	cardiac hypertrophy	up-regulated	"Northern blot, qRT-PCR etc"	Change during the latter stage of hypertrophy (14 days post-TAC).	unknown	unknown	2008	17234972	Unspecified
hsa-miR-15b	1985	colorectal cancer	down-regulated	"Northern blot, qRT-PCR etc"	The expression levels of miRNA is affected by wtp53. Down-regulation of wt-p53 via siRNA abolishes the effect of wt-p53 in regulating miRNAs in HCT-116 (wt-p53) cells.	eIF-4A	unknown	2006	16609010	Unspecified
hsa-miR-15b	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	"miR-15b (p = 0.0278), miR-181b (p = 0.0002), miR-191(p = 0.0264) and miR-200c (p = 0.0017) were significantly over-expressed in tumors compared to normal colorectal samples."	unknown	unknown	2006	18079988	Unspecified
hsa-miR-15b	3908	non-small cell lung cancer (NSCLC)	up-regulated	microarray	differentially expressed miRNA in TRAIL-resistant NSCLC cells.	unknown	unknown	2008	18246122	Unspecified
hsa-let-7c	9119	acute myeloid leukemia (AML)	up-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	unknown	2007	18056805	Unspecified
hsa-let-7c	11984	cardiac hypertrophy	up-regulated	"Northern blot, qRT-PCR etc"	Change during the latter stage of hypertrophy (14 days post-TAC).	unknown	unknown	2008	17234972	Unspecified
hsa-let-7c	2893	cervical cancer	down-regulated	microarray	"let-7b, let-7c, miR-23b, miR-196b, and miR-143 showed significantly reduced abundance in cervical cancer cell lines. miR-21 displayed higher abundance in the cancer group."	unknown	unknown	2007	17616659	Unspecified
hsa-let-7c	14250	Down syndrome (DS)	up-regulated	"Northern blot, qRT-PCR etc"	"Bioinformatic analyses demonstrate that human chromosome 21(Hsa21) harbors five miRNA genes; miR-99a, let-7c, miR-125b-2, miR-155, and miR-802. MiRNA expression profiling, miRNA RT-PCR, and miRNA in situ hybridization experiments demonstrate that these miRNAs are overexpressed in fetal brain and heart specimens from individuals with DS when compared with age- and sex-matched controls."	unknown	unknown	2008	18387358	Unspecified
hsa-let-7c	4001	epithelial ovarian cancer (EOC)	down-regulated	microarray	Differentially expressed between tumors and normals.	unknown	unknown	2007	17875710	Unspecified
hsa-let-7c	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-let-7c	3905	lung cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
hsa-let-7c	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	"let-7c,miR-99a, and miR-125b-2 were also mapped in a region with Homozygous Deletion at 21q11-q21."	unknown	unknown	2007	17674361	Unspecified
hsa-let-7c	10286	prostate cancer	up-regulated	"Northern blot, qRT-PCR etc"	miRNA precursors with significantly different expression.	unknown	unknown	2005	16192569	Unspecified
hsa-let-7c	10286	prostate cancer	down-regulated	microarray	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	unknown	2007	17616669	Unspecified	0	91			
hsa-let-7c	13223	uterine leiomyoma (ULM)	up-regulated	"Northern blot, qRT-PCR etc"	One of the top five up-regulated miRNAs in Uterine Leiomyomas (ULMs).Overexpression of the let-7					
"miRNAs is significant in more than two-thirds of the ULMs examined. The cause of let-7 overexpression in ULMs is unclear. Let-7 miRNAs may affect the tumorigenesis of ULMs in several aspects. First, overexpression of let-7 miRNAs in ULMs may play a role in promoting terminal differentiation of these smooth muscle tumors as we see in embryonic development. Second, given that ULMs are benign and rarely progress to malignancy, a high level of let-7 miRNAs in ULMs may be the"										
"protective factors preventing overexpression of their targeting oncogenes, such as RAS and MYC."	HMGA2	unknown	2007	17243163	Unspecified	0	92			
hsa-let-7d	9119	acute promyelocytic leukemia (APL)	up-regulated	"Northern blot, qRT-PCR etc"	"Upregulation of miR-15a,miR-15b, miR-16-1, let-7a-3, let-7c, let-7d, miR-223,miR-342 and miR-107, whereas miR-181b was downregulated in in acute promyelocytic leukemia patients and cell lines during all-trans-retinoic acid (ATRA) treatment."	"BCL2, RAS"	unknown	2007	17260024	Causal
hsa-let-7d	3905	lung cancer	down-regulated	"Northern blot, qRT-PCR etc"	Overexpression of let-7 in lung cancer cell lines alters cell cycle progression and reduces cell division.multiple genes involved in cell cycle and cell division functions are also directly or indirectly repressed by let-7.	"CDK6, CDC25A"	unknown	2007	17699775	Causal
hsa-let-7d	2144	ovarian cancer (OC)	down-regulated	"Northern blot, qRT-PCR etc"	Ovarian cancer (OC) patients with high HMGA2 and low let-7 expression in their cancer cells had a lower survival than patients with a low HMGA2/high let-7 ratio. HMGA2 upregulation occurs early during OC progression before the tumors begin to metastasize both in human patients and in an OC mouse model.HMGA2 is a more sensitive target of let-7 than RAS.	HMGA2	unknown	2007	17957144	Causal
hsa-let-7d	3459	breast cancer	down-regulated	microarray	Differentially expressed between breast carcinoma and normal breast tissue.	unknown	unknown	2005	16103053	Unspecified
hsa-let-7d	4001	epithelial ovarian cancer (EOC)	down-regulated	microarray	Differentially expressed between tumors and normals.	unknown	unknown	2007	17875710	Unspecified
hsa-let-7d	4001	epithelial ovarian cancer (EOC)	down-regulated	microarray	DNA copy number status of 17 genomic loci containing miRNAs differentially expressed between IOSE cells and EOC cell lines.	unknown	unknown	2008	18458333	Unspecified
hsa-let-7d	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-let-7d	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-let-7d	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
hsa-let-7d	4905	pancreatic cancer	up-regulated	"Northern blot, qRT-PCR etc"	Aberrantly expressed miRNA precursors in pancreatic adenocarcinoma.PAM testing was conducted on 10 tumor samples and 15 adjacent benign samples. PAM has correctly classified 100% of the tested tumor samples and 11 of 15 of the tested benign samples. The 20 top ranked differentially expressed miRNAs in pancreatic adenocarcinoma as selected by PAM.	unknown	unknown	2006	17149698	Unspecified
hsa-let-7d	10286	prostate cancer	down-regulated	microarray	Differential expression in the prostate carcinoma samples compared with the benign prostatic					
hyperplasia samples.	unknown	unknown	2007	17616669	Unspecified	0	103			
hsa-let-7d*	11984	cardiac hypertrophy	down-regulated	"Northern blot, qRT-PCR etc"	Change during the latter stage of hypertrophy (14 days post-TAC).	unknown	unknown	2008	17234972	Unspecified
